aya_id,page,x,y
1182,178,499,199
1183,178,674,384
1184,178,108,569
1185,178,294,847
1186,178,662,1032
1187,178,746,1124
1188,178,529,1217
1189,178,108,1402
1190,179,593,292
1191,179,739,384
1192,179,108,569
1193,179,684,754
1194,179,733,847
1195,179,640,939
1196,179,359,1032
1197,179,730,1309
1198,179,108,1402
1199,180,396,292
1200,180,107,384
1201,180,609,569
1202,180,371,754
1203,180,396,939
1204,180,514,1124
1205,180,581,1309
1206,180,107,1402
1207,181,432,289
1208,181,534,477
1209,181,719,754
1210,181,309,939
1211,181,383,1124
1212,181,238,1309
1213,181,106,1402
1214,182,141,384
1215,182,331,662
1216,182,694,847
1217,182,162,1032
1218,182,696,1309
1219,182,104,1402
1220,183,279,199
1221,183,264,384
1222,183,254,754
1223,183,168,939
1224,183,228,1124
1225,183,110,1217
1226,183,109,1402
1227,184,298,199
1228,184,109,384
1229,184,105,477
1230,184,646,662
1231,184,404,754
1232,184,105,847
1233,184,105,939
1234,184,355,1309
1235,184,106,1402
1236,185,541,199
1237,185,450,384
1238,185,400,477
1239,185,330,754
1240,185,363,1032
1241,185,281,1217
1242,185,228,1309
1243,185,107,1402
1244,186,669,292
1245,186,247,384
1246,186,215,847
1247,186,598,1032
1248,186,549,1217
1249,186,109,1402
1250,187,111,212
1251,187,437,395
1252,187,105,670
1253,187,517,944
1254,187,238,1219
1255,187,111,1401
1256,188,104,292
1257,188,796,569
1258,188,275,662
1259,188,177,754
1260,188,206,939
1261,188,730,1217
1262,188,107,1402
1263,189,364,199
1264,189,109,292
1265,189,583,569
1266,189,379,754
1267,189,744,1032
1268,189,109,1217
1269,189,109,1402
1270,190,712,199
1271,190,796,292
1272,190,204,477
1273,190,356,939
1274,190,466,1217
1275,190,111,1402
1276,191,604,199
1277,191,212,477
1278,191,636,847
1279,191,504,964
1280,191,443,1124
1281,191,214,1240
1282,191,112,1402
1283,192,373,199
1284,192,360,384
1285,192,378,754
1286,192,740,1032
1287,192,112,1402
1288,193,107,385
1289,193,454,754
1290,193,329,939
1291,193,109,1402
1292,194,108,199
1293,194,575,569
1294,194,109,662
1295,194,109,847
1296,194,268,1032
1297,194,390,1217
1298,194,109,1402
1299,195,110,199
1300,195,302,384
1301,195,213,570
1302,195,590,754
1303,195,716,1032
1304,195,188,1124
1305,195,111,1402
1306,196,107,201
1307,196,742,384
1308,196,475,477
1309,196,681,662
1310,196,645,847
1311,196,467,1124
1312,196,105,1402
1313,197,412,199
1314,197,486,384
1315,197,402,569
1316,197,493,754
1317,197,485,939
1318,197,397,1217
1319,197,111,1402
1320,198,268,477
1321,198,181,569
1322,198,637,847
1323,198,110,1124
1324,198,110,1402
1325,199,438,199
1326,199,618,662
1327,199,107,754
1328,199,775,939
1329,199,107,1032
1330,199,701,1217
1331,199,107,1402
1332,200,509,292
1333,200,695,569
1334,200,549,662
1335,200,732,939
1336,200,109,1032
1337,200,176,1217
1338,200,109,1402
1339,201,705,200
1340,201,519,385
1341,201,108,477
1342,201,849,754
1343,201,109,939
1344,201,407,1217
1345,201,105,1402
1346,202,382,384
1347,202,725,662
1348,202,109,754
1349,202,189,939
1350,202,192,1124
1351,202,108,1402
1352,203,642,384
1353,203,111,569
1354,203,115,754
1355,203,308,939
1356,203,636,1124
1357,203,482,1309
1358,203,112,1402
1359,204,757,384
1360,204,401,569
1361,204,641,847
1362,204,107,939
1363,204,107,1402
1364,205,265,292
1365,205,540,569
1366,205,811,847
1367,205,811,1032
1368,205,113,1124
1369,205,113,1402
1370,206,774,384
1371,206,731,477
1372,206,109,939
1373,206,713,1217
1374,206,108,1402
1375,207,780,292
1376,207,356,477
1377,207,594,662
1378,207,715,847
1379,207,197,1032
1380,207,786,1310
1381,207,105,1402
1382,208,400,304
1383,208,737,579
1384,208,109,762
1385,208,766,1128
1386,208,410,1311
1387,208,109,1402
1388,209,364,199
1389,209,452,291
1390,209,499,477
1391,209,585,662
1392,209,356,847
1393,209,417,1124
1394,209,305,1309
1395,209,107,1402
1396,210,107,384
1397,210,107,569
1398,210,517,754
1399,210,105,1032
1400,210,107,1217
1401,210,107,1402
1402,211,107,199
1403,211,711,662
1404,211,108,847
1405,211,108,1309
1406,211,108,1402
1407,212,344,204
1408,212,494,482
1409,212,285,667
1410,212,107,759
1411,212,393,944
1412,212,420,1221
1413,212,262,1314
1414,212,108,1407
1415,213,467,199
1416,213,110,384
1417,213,618,569
1418,213,534,754
1419,213,107,847
1420,213,107,1032
1421,213,745,1217
1422,213,273,1309
1423,213,107,1402
1424,214,758,200
1425,214,666,292
1426,214,603,477
1427,214,109,569
1428,214,109,753
1429,214,759,754
1430,214,109,939
1431,214,753,1125
1432,214,719,1217
1433,214,316,1309
1434,214,109,1402
1435,215,737,292
1436,215,345,386
1437,215,682,475
1438,215,103,569
1439,215,685,753
1440,215,737,939
1441,215,703,1124
1442,215,106,1402
1443,216,112,107
1444,216,359,199
1445,216,519,384
1446,216,337,477
1447,216,458,754
1448,216,577,939
1449,216,744,1217
1450,216,705,1309
1451,216,109,1402
1452,217,410,293
1453,217,473,384
1454,217,108,477
1455,217,108,662
1456,217,777,939
1457,217,177,1032
1458,217,249,1124
1459,217,107,1217
1460,217,107,1402
1461,218,360,107
1462,218,320,199
1463,218,666,384
1464,218,740,477
1465,218,425,662
1466,218,106,754
1467,218,106,847
1468,218,391,939
1469,218,347,1124
1470,218,107,1402
1471,219,670,199
1472,219,615,477
1473,219,687,569
1474,219,107,662
1475,219,405,939
1476,219,262,1124
1477,219,106,1217
1478,219,106,1309
1479,219,106,1402
1480,220,623,292
1481,220,110,385
1482,220,566,569
1483,220,110,662
1484,220,262,847
1485,220,111,939
1486,220,562,1217
1487,220,504,1309
1488,220,111,1402
1489,221,621,288
1490,221,323,471
1491,221,106,561
1492,221,106,857
1493,221,306,948
1494,221,106,1220
1495,221,765,1220
1496,221,106,1403
1497,222,176,199
1498,222,574,569
1499,222,107,754
1500,222,691,939
1501,222,240,1032
1502,222,811,1217
1503,222,108,1402
1504,223,111,199
1505,223,464,384
1506,223,743,569
1507,223,111,662
1508,223,111,1032
1509,223,391,1309
1510,223,111,1402
1511,224,328,292
1512,224,204,384
1513,224,447,477
1514,224,658,662
1515,224,106,754
1516,224,106,847
1517,224,106,939
1518,224,163,1217
1519,224,105,1402
1520,225,759,292
1521,225,694,384
1522,225,658,662
1523,225,257,754
1524,225,315,847
1525,225,389,1032
1526,225,114,1124
1527,225,465,1309
1528,225,112,1402
1529,226,106,200
1530,226,825,384
1531,226,401,569
1532,226,202,662
1533,226,158,847
1534,226,774,1124
1535,226,607,1309
1536,226,105,1402
1537,227,793,292
1538,227,178,384
1539,227,110,569
1540,227,110,754
1541,227,475,940
1542,227,110,1032
1543,227,765,1309
1544,227,107,1402
1545,228,727,292
1546,228,164,386
1547,228,111,569
1548,228,564,754
1549,228,335,847
1550,228,742,1032
1551,228,111,1217
1552,228,111,1402
1553,229,707,292
1554,229,675,477
1555,229,344,569
1556,229,229,754
1557,229,109,847
1558,229,736,1032
1559,229,232,1124
1560,229,340,1309
1561,229,109,1402
1562,230,714,199
1563,230,173,292
1564,230,396,477
1565,230,846,477
1566,230,107,569
1567,230,740,754
1568,230,183,939
1569,230,103,1032
1570,230,184,1124
1571,230,107,1402
1572,231,640,199
1573,231,613,292
1574,231,471,570
1575,231,553,754
1576,231,198,847
1577,231,665,847
1578,231,778,1124
1579,231,109,1402
1580,232,797,292
1581,232,713,384
1582,232,700,569
1583,232,813,754
1584,232,508,939
1585,232,111,1124
1586,232,111,1217
1587,232,268,1309
1588,232,111,1402
1589,233,789,199
1590,233,712,292
1591,233,580,384
1592,233,108,569
